Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
40,0,18152,0,0,0,0,0,0,44745,277965,252526,49228,126505,0,0,0,0,107012,0,17339,65994,0,0,0,296365,626597,131285,9821,0,304067,740436,257156,374791,587562,386899,20746,0,106296,0,65712,0
41,0,29933,0,0,0,0,0,0,39004,299455,280638,89202,146394,0,0,0,0,89447,0,16422,79396,0,0,0,398421,793608,177338,13878,0,333641,926428,371405,409866,658516,361091,26296,0,119135,0,68116,0
42,0,25788,0,0,0,0,0,0,22019,399433,325304,104997,142307,0,0,0,0,92455,0,66376,106396,0,0,0,366004,830968,208864,10572,0,310978,960137,302584,462222,661192,346135,70041,0,119619,0,125389,0
43,0,23884,0,0,0,0,0,0,34739,337709,275958,85642,118523,0,0,0,0,93742,0,75587,105509,0,0,0,375660,743233,232067,14606,0,280627,1003001,289621,480502,593127,232305,49191,0,107294,0,107249,0
44,0,14525,0,0,0,0,0,0,35781,423143,233685,78178,112173,0,0,0,0,86763,0,79727,103946,0,0,0,288366,744509,240966,20240,0,297992,946474,223240,369902,423440,221355,25429,0,76603,0,89285,0
45,0,20561,0,0,0,0,0,0,35574,492073,327141,73577,111866,0,0,0,0,105315,0,105540,104479,0,0,0,345513,843934,256060,21120,0,290386,1032415,235037,313697,483948,382481,34566,0,87546,0,103350,0
46,0,42924,0,0,0,0,0,0,49883,473191,235126,63735,122038,0,0,0,0,101312,0,96977,128776,0,0,0,388121,861944,269304,22308,0,272998,988131,222210,299768,432599,325668,42252,0,78260,0,101640,0
47,0,32935,0,0,0,0,0,0,36983,448883,271052,63048,102243,0,0,0,0,76079,0,89975,126375,0,0,0,319798,780339,247089,25994,0,286479,967503,272094,267983,525501,382179,38032,0,95070,0,101884,0
48,0,38521,0,0,0,0,0,0,44452,554952,498312,75065,109281,0,0,0,0,107950,0,87055,157299,0,0,0,416677,960940,303694,30340,0,307889,1197212,410708,510530,699183,546436,42358,0,126490,0,104314,0
49,0,38271,0,0,0,0,0,0,41836,422772,440839,133109,127886,0,0,0,0,102227,0,76714,144369,0,0,0,324763,945996,291431,23934,0,290328,1075290,359082,578656,694455,507734,40396,0,125636,0,120371,0
50,0,31501,0,0,0,0,0,0,34081,624620,422229,162547,142962,0,0,0,0,93574,0,98228,117284,0,0,0,430861,1023237,307578,24505,0,332993,1209634,352771,644135,746904,499373,59241,0,135123,0,135230,0
51,0,52227,0,0,0,0,0,0,35345,753330,334359,135638,118756,0,0,0,0,61956,0,99713,154626,0,0,0,375693,868097,301972,28750,0,313932,942787,338783,588597,616919,383645,45651,0,111610,0,128998,0
52,0,11989,0,0,0,0,0,0,31526,640719,295782,157948,97801,0,0,0,0,38405,0,92686,96112,0,0,0,449323,1001347,353387,37359,0,370988,1019551,380173,599403,742776,159707,36176,0,134383,0,132292,0
