Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,0,13019,0,0,0,0,0,0,55934,852519,356802,121545,97350,0,0,0,0,37756,0,134807,87524,0,0,0,193297,531004,284465,48192,0,197019,724165,292036,464391,525330,280258,38113,0,95034,0,135467,0
2,0,10990,0,0,0,0,0,0,50094,734548,411256,100688,124874,0,0,0,0,70632,0,124647,125602,0,0,0,255841,714405,284818,48521,0,211367,867760,330621,491100,561162,460708,45556,0,101525,0,131392,0
3,0,9343,0,0,0,0,0,0,50763,567038,515192,85073,108558,0,0,0,0,82641,0,113534,119213,0,0,0,246557,795710,298790,50950,0,204780,886404,377064,469949,504476,540860,43333,0,91271,0,114919,0
4,0,4667,0,0,0,0,0,0,38158,650893,590326,69941,117764,0,0,0,0,99939,0,118198,109973,0,0,0,314506,884413,295586,51233,0,236451,929582,420942,452887,581398,634727,37753,0,105185,0,103781,0
5,0,5198,0,0,0,0,0,0,34482,424246,387274,60426,79844,0,0,0,0,61427,0,118464,86841,0,0,0,356356,848997,298490,51378,0,240026,1010783,388134,436109,616707,334386,28852,0,111565,0,99181,0
6,0,36867,0,0,0,0,0,0,22551,584631,436663,65455,92013,0,0,0,0,52486,0,116912,67025,0,0,0,315901,831927,294695,51328,0,254336,944896,356062,364063,592784,347153,26893,0,107238,0,94609,0
7,0,8250,0,0,0,0,0,0,21755,568293,426550,58791,81159,0,0,0,0,43369,0,120344,69294,0,0,0,419826,847383,279847,49011,0,214907,1051654,371205,373440,548833,341392,33145,0,99291,0,86512,0
8,0,8839,0,0,0,0,0,0,26204,568763,425819,62443,76071,0,0,0,0,46888,0,107651,94854,0,0,0,376802,857241,303344,45598,0,222305,1061493,379236,365842,529643,286171,29110,0,95818,0,77260,0
9,0,6149,0,0,0,0,0,0,27481,435921,525951,85079,87339,0,0,0,0,77105,0,94541,98391,0,0,0,449658,944749,306688,45879,0,281564,1231275,458590,476091,587308,374771,37645,0,106252,0,93069,0
10,0,25648,0,0,0,0,0,0,39779,538354,588031,91975,91878,0,0,0,0,80065,0,85649,78303,0,0,0,450542,919676,300910,48367,0,289065,1119177,371849,405172,697719,366370,64175,0,126222,0,161043,0
11,0,62435,0,0,0,0,0,0,31392,577862,492338,71328,65075,0,0,0,0,60111,0,69792,75648,0,0,0,362405,856001,285360,48122,0,250205,1049376,324279,333142,579039,213157,32696,0,104758,0,118269,0
12,0,39529,0,0,0,0,0,0,34634,572677,443618,53252,60043,0,0,0,0,61874,0,52988,74455,0,0,0,411439,858494,281304,48822,0,278584,1074172,372614,370161,688723,212761,21465,0,124598,0,94024,0
13,0,46821,0,0,0,0,0,0,25328,432670,501059,53820,79192,0,0,0,0,76934,0,29847,64060,0,0,0,354085,822374,269514,49696,0,260562,1059387,392386,405972,700038,207975,21897,0,126649,0,83475,0
14,0,48824,0,0,0,0,0,0,34022,382320,437870,49286,86180,0,0,0,0,50113,0,26190,102568,0,0,0,467096,803793,222947,43334,0,248162,1059599,358087,357320,621716,184981,11760,0,112478,0,60518,0
15,0,50740,0,0,0,0,0,0,32404,305444,259258,47288,76705,0,0,0,0,61351,0,24655,105979,0,0,0,406694,761877,182013,34204,0,205101,924940,335206,283420,577844,180002,5522,0,104541,0,51654,0
16,0,87542,0,0,0,0,0,0,39495,507341,262324,37347,121205,0,0,0,0,77483,0,26831,124037,0,0,0,414184,716451,200804,26969,0,181219,929663,353002,325095,639693,190992,6624,0,115737,0,41586,0
17,0,68979,0,0,0,0,0,0,33266,748851,275873,37764,120260,0,0,0,0,87446,0,61491,119962,0,0,0,436265,824527,215905,22756,0,210056,1029662,427425,339160,609487,218406,8697,0,110263,0,44620,0
18,0,70567,0,0,0,0,0,0,32004,468422,253188,39048,118101,0,0,0,0,75151,0,36851,112450,0,0,0,413039,853566,213229,21594,0,226057,1113853,434798,322919,560327,200594,10123,0,101372,0,38986,0
19,0,59955,0,0,0,0,0,0,38796,568422,334377,28719,103903,0,0,0,0,97834,0,55727,90514,0,0,0,413571,827370,198701,18924,0,212974,1016927,355680,300785,497791,256237,10438,0,90051,0,35720,0
20,0,56187,0,0,0,0,0,0,48744,450908,424016,32639,148637,0,0,0,0,106359,0,34893,81272,0,0,0,428601,801952,193334,16714,0,189502,1018131,372527,373728,495793,307482,5529,0,89693,0,30698,0
21,0,42046,0,0,0,0,0,0,53708,363390,362633,39481,160073,0,0,0,0,106779,0,35439,62606,0,0,0,338803,755899,151424,15949,0,221288,924876,371117,297764,382130,282945,4106,0,69134,0,35182,0
22,0,28499,0,0,0,0,0,0,64219,425392,401268,36838,146903,0,0,0,0,71100,0,25065,60629,0,0,0,397790,746319,143742,12523,0,239717,696963,391791,281124,362135,242085,4814,0,65518,0,35066,0
23,0,35434,0,0,0,0,0,0,67422,343466,427725,46322,169864,0,0,0,0,120207,0,17287,85621,0,0,0,374266,743837,158359,11115,0,253599,596799,416778,336891,416197,406706,8086,0,75300,0,55832,0
24,0,49611,0,0,0,0,0,0,69456,324374,428832,37944,180993,0,0,0,0,144380,0,28213,75117,0,0,0,320473,756878,136868,8867,0,207411,528232,397940,318401,478579,367497,5472,0,86578,0,49468,0
25,0,65086,0,0,0,0,0,0,65695,333928,355366,32302,178935,0,0,0,0,143586,0,38312,167716,0,0,0,313545,803383,132185,9886,0,204557,496676,390464,336107,559510,405636,9128,0,101217,0,53117,0
26,0,65677,0,0,0,0,0,0,77158,377166,329506,25545,164063,0,0,0,0,147112,0,47330,222315,0,0,0,237234,810352,115288,11215,0,213289,436657,396848,314221,497446,394859,6304,0,89985,0,67014,0
27,0,45170,0,0,0,0,0,0,70440,291720,298420,34697,163493,0,0,0,0,143589,0,23580,163938,0,0,0,180519,714897,85731,14016,0,258658,460592,353543,271404,440080,459946,15661,0,79620,0,61768,0
28,0,26451,0,0,0,0,0,0,60990,240602,309897,19666,166660,0,0,0,0,151287,0,16607,116471,0,0,0,281709,738701,144641,16891,0,289900,608456,375797,294536,467512,452906,14424,0,84575,0,60350,0
29,0,32612,0,0,0,0,0,0,75671,257669,252829,18780,167981,0,0,0,0,155764,0,19292,139172,0,0,0,250217,619072,131501,13891,0,266037,625681,384217,340062,502208,457476,15930,0,90856,0,61724,0
30,0,53349,0,0,0,0,0,0,78224,324534,228449,19580,161451,0,0,0,0,130485,0,19828,173427,0,0,0,358147,517371,119474,12240,0,278708,670902,382010,344617,486951,453053,15572,0,88099,0,53735,0
31,0,50235,0,0,0,0,0,0,78148,400833,272486,34389,158018,0,0,0,0,148144,0,13244,194425,0,0,0,400183,722605,141530,14348,0,272066,595279,354516,384408,491209,470644,20086,0,88869,0,56536,0
32,0,33094,0,0,0,0,0,0,66899,343072,230633,29254,173518,0,0,0,0,138001,0,19821,145173,0,0,0,475016,713048,170634,10183,0,265201,639177,411030,401276,463075,415156,10619,0,83774,0,58609,0
33,0,31117,0,0,0,0,0,0,67527,315582,182065,28801,157454,0,0,0,0,141575,0,14584,114775,0,0,0,509780,703077,146734,9057,0,208541,812764,358185,424847,477707,487723,15628,0,86423,0,57116,0
34,0,31211,0,0,0,0,0,0,54428,370918,154065,23753,137592,0,0,0,0,121074,0,11912,106537,0,0,0,420725,657499,138753,8816,0,183316,586473,309910,381750,633402,368970,12216,0,114595,0,54500,0
35,0,33791,0,0,0,0,0,0,63059,364869,149708,18564,155681,0,0,0,0,140969,0,13093,123156,0,0,0,455774,773747,139167,11246,0,183553,655464,395175,441990,637446,445382,19693,0,115320,0,57430,0
36,0,20011,0,0,0,0,0,0,52461,279036,135991,19381,145810,0,0,0,0,131176,0,10048,81799,0,0,0,378032,659097,137855,10338,0,161411,755982,339583,402762,530457,382387,12703,0,95973,0,61674,0
37,0,26021,0,0,0,0,0,0,46262,361112,162523,23543,145130,0,0,0,0,145220,0,12905,89971,0,0,0,369554,601099,114560,12407,0,105001,769909,311129,377191,636316,451597,19417,0,115120,0,66390,0
38,0,33249,0,0,0,0,0,0,60749,380848,173266,20096,112028,0,0,0,0,107848,0,18647,129213,0,0,0,297872,552111,101626,10008,0,112456,859908,304052,372283,656407,358734,15408,0,118755,0,66826,0
39,0,29162,0,0,0,0,0,0,56896,307063,181267,39811,106069,0,0,0,0,107286,0,21706,109243,0,0,0,288462,591697,109074,9775,0,230622,805917,317427,395938,678129,310717,29985,0,122677,0,77227,0
