Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,0,31323,0,0,0,0,0,0,72173,857521,429748,170942,143468,0,0,0,0,67120,0,94746,52842,0,0,0,539876,969335,313491,36316,0,326935,1190106,458254,656191,833860,422528,63764,0,274879,0,194487,0
2,0,98628,0,0,0,0,0,0,114954,825683,595311,150360,154128,0,0,0,0,73601,0,49638,85009,0,0,0,493683,969837,298665,35899,0,335847,1155897,426979,628729,799123,620284,70682,0,263432,0,190099,0
3,0,121242,0,0,0,0,0,0,178185,765514,526342,140743,135128,0,0,0,0,64170,0,74118,79044,0,0,0,514884,969063,289883,37518,0,328484,1123757,395857,620265,788806,567162,76481,0,260037,0,169644,0
4,0,80451,0,0,0,0,0,0,183580,643435,628016,161821,138616,0,0,0,0,58830,0,86040,110338,0,0,0,554176,965235,297678,44236,0,311113,1143255,402446,591748,750464,449258,71792,0,247385,0,202570,0
5,0,78028,0,0,0,0,0,0,192407,761185,585454,158329,127297,0,0,0,0,54180,0,78975,95342,0,0,0,528823,979246,286658,38394,0,315584,1185068,403204,629706,778264,330413,71841,0,256555,0,215974,0
6,0,72930,0,0,0,0,0,0,212161,919340,668051,158172,137249,0,0,0,0,83846,0,119955,74422,0,0,0,556426,971184,280595,31581,0,304266,1163399,360834,597826,779688,435819,68584,0,257026,0,235367,0
7,0,116755,0,0,0,0,0,0,227309,988049,620816,170996,148877,0,0,0,0,47225,0,159533,62838,0,0,0,502667,918159,266503,29203,0,286985,1179364,327488,609284,750200,449631,85576,0,247302,0,263521,0
8,0,94629,0,0,0,0,0,0,175844,1032278,386499,148532,121807,0,0,0,0,45318,0,165379,61608,0,0,0,414687,871154,253213,30728,0,260464,943796,308691,566641,561916,247539,79650,0,185231,0,197822,0
9,0,72293,0,0,0,0,0,0,106291,981237,452661,134976,123181,0,0,0,0,62555,0,143496,79037,0,0,0,417250,752652,261348,32342,0,297190,1024903,215398,380829,620134,359101,71883,0,204424,0,172479,0
10,0,88367,0,0,0,0,0,0,61457,828924,433784,127827,129657,0,0,0,0,56982,0,124507,125261,0,0,0,417263,826993,241830,29043,0,280975,1065183,260596,455629,592504,365369,62379,0,195319,0,162216,0
11,0,88543,0,0,0,0,0,0,36091,621107,339686,100746,109063,0,0,0,0,44853,0,59754,111956,0,0,0,489825,879895,227143,32608,0,262107,943840,302767,594767,568679,271526,60849,0,187468,0,151355,0
12,0,95157,0,0,0,0,0,0,53910,624940,377864,96640,92506,0,0,0,0,38091,0,76056,95307,0,0,0,336565,688146,199619,28649,0,256195,964679,228221,414800,492568,204775,58447,0,162379,0,156591,0
13,0,60449,0,0,0,0,0,0,45958,541401,208496,92780,87065,0,0,0,0,45596,0,46687,97580,0,0,0,346283,727840,199551,29805,0,252726,819714,194183,333948,457040,210563,45354,0,150667,0,110973,0
