Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
34,0,31779,0,0,0,0,0,0,62302,224618,202308,47817,103330,0,0,0,0,81139,0,22028,89748,0,0,0,169170,392014,131333,12483,0,96164,559377,161707,121503,432193,489410,13120,0,111564,0,43975,0
35,0,28064,0,0,0,0,0,0,52888,281531,228153,42491,107329,0,0,0,0,108567,0,29123,89405,0,0,0,211460,461669,149935,12845,0,116361,751632,176732,156687,549665,634036,15102,0,141889,0,44815,0
36,0,28381,0,0,0,0,0,0,49696,233203,226973,31502,110130,0,0,0,0,89855,0,25819,85407,0,0,0,347431,702593,207362,14025,0,138073,721134,194459,165351,541731,587810,12597,0,139835,0,31363,0
37,0,14566,0,0,0,0,0,0,42398,200869,162162,37130,121000,0,0,0,0,84230,0,19291,92753,0,0,0,243903,613906,210090,13276,0,156746,741268,161331,116855,535682,330578,14507,0,138283,0,28984,0
38,0,22380,0,0,0,0,0,0,40113,307833,157805,40918,105606,0,0,0,0,101905,0,23190,58714,0,0,0,229226,752562,216950,11263,0,147702,749359,223515,219899,578889,386309,13372,0,149428,0,37905,0
39,0,21657,0,0,0,0,0,0,35540,235123,194229,39653,101999,0,0,0,0,92455,0,26237,35320,0,0,0,233289,662991,213156,14538,0,142112,666906,199899,284569,507125,334884,7637,0,130907,0,28826,0
40,0,12848,0,0,0,0,0,0,32506,311816,267227,60721,105423,0,0,0,0,105702,0,26845,42699,0,0,0,358020,798853,238139,19141,0,142462,788905,270844,383661,539406,356848,23329,0,139235,0,55712,0
41,0,10847,0,0,0,0,0,0,19507,383890,356238,75938,128577,0,0,0,0,91236,0,47293,36100,0,0,0,267437,727807,218794,19613,0,134806,588083,208965,313012,518613,463165,43389,0,133875,0,68470,0
42,0,11060,0,0,0,0,0,0,20334,435281,411449,71278,146493,0,0,0,0,112694,0,54280,61392,0,0,0,233687,741024,207052,23962,0,125229,563376,188175,300967,442570,501095,47801,0,114238,0,61383,0
43,0,17728,0,0,0,0,0,0,21659,502333,406059,66840,144042,0,0,0,0,114303,0,52476,55530,0,0,0,190430,561343,174822,20522,0,127982,660326,166415,196601,485520,564498,43829,0,125332,0,66711,0
44,0,11447,0,0,0,0,0,0,19260,477145,391251,67047,131999,0,0,0,0,63660,0,71427,63010,0,0,0,223272,627547,174090,21467,0,150982,805261,250510,220107,639647,446607,35183,0,165119,0,65996,0
45,0,12299,0,0,0,0,0,0,20285,504109,362122,70135,116349,0,0,0,0,62569,0,67755,89888,0,0,0,364352,762992,239243,19729,0,135028,1031709,273694,338244,695773,532857,40245,0,179599,0,81237,0
46,0,28063,0,0,0,0,0,0,35668,369222,315155,51751,83292,0,0,0,0,59724,0,59131,110744,0,0,0,303870,584369,193931,19394,0,106294,860033,320782,324544,652451,586746,44621,0,168424,0,48836,0
47,0,13107,0,0,0,0,0,0,19251,305764,289018,66643,69075,0,0,0,0,49389,0,46500,91540,0,0,0,438035,780132,217613,21827,0,132042,997264,366742,438578,757160,510179,43207,0,195444,0,36752,0
48,0,9051,0,0,0,0,0,0,17553,360002,285504,80153,67748,0,0,0,0,51239,0,51593,59073,0,0,0,319216,762010,187440,23692,0,114170,857942,340865,408732,649057,438480,47496,0,167544,0,82613,0
49,0,8356,0,0,0,0,0,0,28630,306280,335058,75099,59522,0,0,0,0,59232,0,40841,55915,0,0,0,318392,740399,238309,25285,0,135639,1013651,337861,428300,764012,490141,43118,0,197220,0,86717,0
50,0,9249,0,0,0,0,0,0,33818,448614,479134,83237,82466,0,0,0,0,78475,0,35365,54245,0,0,0,282466,710020,227421,24124,0,143984,1084326,376245,401972,814998,627687,55171,0,210373,0,95263,0
51,0,6700,0,0,0,0,0,0,33360,338500,214465,76440,51159,0,0,0,0,33153,0,13161,60567,0,0,0,377903,827545,185963,28832,0,122074,798396,326180,477148,605950,405124,43129,0,156417,0,80251,0
52,0,12966,0,0,0,0,0,0,60617,366360,454438,95733,67323,0,0,0,0,39780,0,15585,50769,0,0,0,304734,700353,205371,37345,0,146068,1160251,312053,285005,759323,337204,49053,0,196004,0,95744,0
