Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0,0,0,0,0,0,0,0,0,60.76050825,0,0,0,0,0,0,0,0,0,0,0,0,0.877192982,0,0,0.101757235,0.610828306,0.596354913,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,67.51167583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101757235,0.610828306,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,60.76050825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101757235,0.610828306,0.596354913,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,60.76050825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101757235,0.610828306,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,60.76050825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101757235,0.610828306,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,128.2721841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101757235,0.610828306,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,162.028022,0,0,0,0,0,0,0,0,25.40417473,0,219.9308756,0,0,0,0,0.101757235,0.712633024,0.834896879,0,0,0,0,0,0,0,0.7,91,34.48275862,207.0386364,5.227586207,22.22222222
8,1,0,259.367775,13.61874627,0,0,1153.008977,5.085910653,0,7.256309648,344.3095467,897.4675932,54.33962264,492.0421445,0,0,48.47683111,0,17.8575253,279.445922,18.24692737,1472.580645,0,0,0,0,0.101757235,0.814437741,0.834896879,0,0,0,0,0,0,0,5.95,252,165.5172414,1501.030114,115.0068966,82.22222222
9,1,247.1730515,1051.880421,197.4718209,0,0,8105.237075,10.17182131,0,939.1823587,6818.679259,2531.961646,122.2641509,5719.19116,0,2.575767165,789.0022168,475.1328533,107.1451518,901.8482029,1514.494972,3222.465438,104.5627376,35.0877193,0,0,0.101757235,1.018047177,0.834896879,65.28832816,0,0,0,0,0,0,14,378,310.3448276,2536.223295,240.4689655,124.4444444
10,1,720.332893,1927.246661,966.9309851,100.4531565,24.10471656,17752.21652,15.25773196,481.1445783,3909.531724,22130.32734,6753.568984,217.3584906,13815.52099,2.541529412,313.8756273,2059.429515,4118.148917,607.1558601,1949.77041,5054.398883,4312.557604,303.2319392,114.0350877,50.41603132,0,0.101757235,4.988431166,2.504690636,622.4153951,15.41686536,52.24076695,12.04601675,7.267713309,6.051893444,0,20.65,483,393.1034483,3209.098864,308.4275862,151.1111111
11,1,1494.808454,2431.572891,1600.202687,435.2970117,84.36650797,25203.28669,20.34364261,1250.975904,6916.282576,30576.03798,10122.8328,244.5283019,15112.72301,12.70764706,281.8625212,3074.099739,11245.67617,1464.317074,1733.834925,7864.425698,4647.235023,491.4448669,223.6842105,275.0419134,0,0.20351447,12.72558971,8.229697803,2050.053504,38.5421634,130.6019174,30.11504187,18.16928327,15.12973361,21.81837651,22.75,511,434.4827586,3416.1375,329.337931,160
12,1,2168.060766,2554.052118,1988.336955,870.5940233,156.6806577,28730.52875,15.25773196,2501.951807,9427.985196,33755.83792,12068.18155,230.9433962,18358.92313,20.33223529,363.5511369,3502.033144,18531.63195,2142.903036,1524.250484,7590.721788,4408.179724,501.9011407,293.8596491,546.0904778,0,0.305271704,25.75659357,24.0927385,3255.711297,46.25059608,156.7223009,36.13805025,21.80313993,18.15568033,65.45512952,21.7,490,427.5862069,3312.618182,308.4275862,153.3333333
13,1,2078.607662,2381.140268,1940.671343,1021.273758,204.8900908,25226.411,10.17182131,2598.180723,10643.74689,35457.13215,11707.189,190.1886792,20793.57322,20.33223529,304.6764589,3094.159117,20590.74458,2410.765915,1111.432644,5346.349721,3643.202765,386.8821293,311.4035088,605.9907131,0,0.305271704,25.45117942,22.30367376,3603.915714,38.5421634,130.6019174,30.11504187,18.16928327,15.12973361,87.27350603,16.8,427,365.5172414,2795.021591,214.3310345,133.3333333
14,1,1315.902246,1811.972095,1559.346448,803.6252523,204.8900908,16255.61188,0,2501.951807,10177.84384,31993.78318,9561.288828,108.6792453,17278.98648,12.70764706,235.8666789,2124.622495,15047.04441,2232.190662,495.3814072,5109.139665,1749.884793,324.1444867,232.4561404,352.4130506,0,0.20351447,16.6959737,12.16564023,3142.544862,7.70843268,26.12038348,6.023008374,3.633856654,3.025946722,48.00042832,9.8,308,268.9655172,1915.107386,104.5517241,95.55555556
15,1,583.7992074,922.1965333,905.6466269,435.2970117,84.36650797,5652.019984,0,1347.204819,8576.178401,26282.2954,5775.880823,27.16981132,11240.28743,5.083058824,250.9533152,957.8353182,5464.447744,1571.462226,69.8614805,4725.95419,305.9907834,219.581749,114.0350877,67.38776463,0,0.20351447,6.617306648,5.247923237,2245.918489,0,0,0,0,0,8.727350603,2.8,119,110.3448276,465.8369318,26.13793103,33.33333333
16,1,98.86922061,147.6955385,258.7561791,100.4531565,12.05235828,273.1480158,0,481.1445783,5409.249011,15824.73681,2191.024236,0,4811.788764,0,150.130429,202.2653988,79.17608371,642.8709107,6.351043682,4561.731844,0,73.19391635,17.54385965,0,0,0.101757235,2.137899071,1.192709827,1218.715459,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,20.4281194,0,0,0.805316654,0,0,1405.085414,4732.568476,832.2883825,0,530.3830908,0,1.471866951,1.671614866,0,107.1451518,0,2153.13743,0,0,4.385964912,0,0,0.101757235,0.916242459,0.954167861,374.3197481,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,14.5725888,526.5910715,0,0,0,0,0,0,0,0,0,54.74078212,0,0,4.385964912,0,0,0.101757235,0.814437741,0.834896879,13.05766563,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,384.8165522,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.916242459,0.954167861,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,378.0653847,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.916242459,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,378.0653847,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.916242459,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,391.5677198,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.814437741,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,391.5677198,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.814437741,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,391.5677198,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.712633024,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,357.8118819,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.305414153,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,87.76517858,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.305414153,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,54.00934067,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.305414153,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,54.00934067,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.305414153,0.954167861,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,54.00934067,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.407218871,0.834896879,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,47.25817308,0,0,0,0,0,0,0,0,0,0,0,0,4.385964912,0,0,0.101757235,0.407218871,0.715625896,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,47.25817308,0,0,0,0,0,0,0,0,50.80834946,0,296.4285714,0,4.385964912,0,0,0.101757235,0.407218871,0.834896879,0,0,0,0,0,0,0,0.35,112,62.06896552,362.3176136,5.227586207,26.66666667
32,1,0,266.5724354,13.61874627,0,0,918.24684,0,0,0,384.8165522,887.4400224,40.75471698,204.4850471,0,0,81.90912843,0,0,406.4667957,18.24692737,1883.75576,0,8.771929825,0,0,0.101757235,0.407218871,0.715625896,0,0,0,0,0,0,0,2.8,287,234.4827586,1759.828409,115.0068966,88.88888889
33,1,153.011889,1001.447798,88.52185075,0,0,5837.009282,5.085910653,0,851.8067954,8600.987501,1814.990328,95.09433962,2012.899682,0,5.151534329,862.5532709,6018.833033,178.575253,1378.176479,1514.494972,4130.875576,31.36882129,70.1754386,0,0,0.101757235,0.509023588,1.073438844,91.40365942,0,0,0,0,0,0,5.6,413,365.5172414,2743.261932,214.3310345,128.8888889
34,1,595.5693527,1703.902189,422.1811343,150.6797348,96.41886625,13103.03843,15.25773196,96.22891566,3858.557648,23345.5375,4291.800334,163.0188679,8703.394816,2.541529412,99.35101921,2211.546468,17581.28989,750.0160625,3035.79888,5255.115084,5450.460829,115.0190114,206.1403509,27.95344311,0,0.20351447,2.443313224,3.935942428,517.9540701,23.12529804,78.36115043,18.06902512,10.90156996,9.077840166,21.81837651,7.7,476,441.3793103,3260.858523,256.1517241,151.1111111
35,1,807.4319683,2060.532879,714.9841791,703.1720957,337.4660319,19727.35108,20.34364261,481.1445783,7374.929322,32999.70715,7174.72696,176.6037736,13662.15721,7.624588235,211.5808742,3573.912584,25263.20244,1500.032125,2502.311211,8338.84581,5861.635945,177.756654,324.5614035,198.6691135,0,0.20351447,8.958815155,10.01876254,1105.549023,46.25059608,156.7223009,36.13805025,21.80313993,18.15568033,69.81880482,9.8,483,468.9655172,3416.1375,256.1517241,157.7777778
36,1,934.5495376,2237.047059,823.9341493,1171.953493,470.041973,22238.84056,15.25773196,962.2891566,9631.821531,38501.90873,8723.98666,163.0188679,15183.01475,12.70764706,379.7416734,4137.246793,27322.31507,2000.042833,2076.791284,9634.377654,5479.147465,230.0380228,350.877193,457.7376309,0,0.305271704,19.95372466,14.78960185,1553.86221,53.95902876,182.8426843,42.16105862,25.43699658,21.18162705,91.63718133,12.95,413,455.1724138,3260.858523,224.7862069,151.1111111
37,1,981.6301189,2215.433078,932.8841194,1406.344191,590.5655558,18382.46654,5.085910653,1250.975904,10214.24533,39366.05818,8693.903948,108.6792453,12620.5615,15.24917647,297.6850909,3659.164942,25184.02636,2232.190662,1365.474392,9397.167598,4159.562212,177.756654,311.4035088,510.6495053,0,0.305271704,26.06200772,15.02814381,1627.855649,38.5421634,130.6019174,30.11504187,18.16928327,15.12973361,117.8192331,16.1,287,365.5172414,2691.502273,182.9655172,128.8888889
38,1,870.990753,1696.697528,1041.83409,1171.953493,518.2514061,10729.28637,0,1347.204819,9508.04448,38515.41106,7430.430018,54.33962264,11387.26106,12.70764706,252.4251821,2443.900934,18214.85126,2017.900359,622.4022809,9214.698324,1835.9447,104.5627376,258.7719298,266.5560468,0,0.20351447,13.64183217,10.25730451,1571.272431,15.41686536,52.24076695,12.04601675,7.267713309,6.051893444,65.45512952,12.6,224,213.7931034,1811.588068,109.7793103,91.11111111
39,1,350.7503303,817.7289573,415.3717612,636.2033247,241.0471656,3572.484862,0,1154.746988,7891.806453,35760.93469,4903.482157,13.58490566,9342.410588,7.624588235,202.3817058,1196.876244,7365.13186,1446.459549,101.6166989,8138.129609,267.7419355,41.82509506,135.9649123,42.42933329,0,0.20351447,4.988431166,5.605736185,940.1519255,0,0,0,0,0,4.363675301,5.25,42,89.65517241,569.35625,20.91034483,31.11111111
40,1,40.01849406,122.4792271,81.71247761,133.937542,48.20943312,169.5901264,0,384.9156627,4870.483011,26572.59561,2065.6796,0,4632.864348,0,65.86604607,232.3544664,158.3521674,607.1558601,6.351043682,6057.979888,0,10.45627376,30.70175439,0,0,0.101757235,0.916242459,1.311980809,531.0117357,0,0,0,0,0,0,0,0,0,0,0,0
