Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,0,0,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,0,0.820120284,0,0,8.22E-02,1.24782373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22E-02,1.2194641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,1.202711568,0,0,0,8.22E-02,1.33290262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,2.405423136,0,0,0,8.22E-02,1.24782373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.116474251,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,1.202711568,0,0,0,8.22E-02,1.361262251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,101.7738513,0,0,0,0,0,0,0,0,0,0,0,0.601355784,0,0,0,8.22E-02,1.503060402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0.931794012,0,0,0,12.55212933,0,0,0,101.7738513,0,0,0,0,0,0,0,0,36.63920153,0,248.3333333,0.601355784,0,0,0,0.123326801,1.928454855,0,0,0,0,0,0,0,0,2.45,98,74.15730337,153.5342697,1.034491315,24.44444444
8,1,0,134.5277604,55.32099618,0,0,2173.80058,3.859191656,0,67.89951301,123.5825337,695.9417722,46.93531132,398.2752904,0,0,3.349967686,0,25.98083065,267.6940705,4.910471322,1071.666667,0.601355784,1.640240569,0,3.55E-02,0.164435734,2.807603392,0,0,0,0,0,0,0,0,12.6,259,249.4382022,972.3837079,31.88114144,82.22222222
9,1,112.86,639.9095375,123.4083761,0,0,15501.57555,19.29595828,0,325.8962092,2388.050726,899.632047,140.8572855,4115.511334,0,2.510694919,148.2174592,475.1535319,245.3745117,576.7606365,731.0464181,2040,31.87185655,5.330781848,0,3.55E-02,0.164435734,2.949401543,0,65.43869655,0,0,0,0,0,80.46602124,19.25,385,364.0449438,1688.876966,95.73746898,124.4444444
10,1,665.28,1146.339583,561.7208842,46.73590002,56.81826047,30712.11736,38.59191656,487.0121951,1405.42338,12569.07064,2639.486477,250.4414806,11250.04771,0.609737511,313.8368648,589.7432002,4118.134449,637.9737303,969.0981151,3310.885289,2480,89.00065602,29.52433024,50.50855726,0,0.123326801,3.232997845,0,625.3031003,39.45983396,133.7114868,30.83206668,18.60188525,15.48996536,639.4931162,23.1,469,431.4606742,1228.274157,167.2114144,146.6666667
11,1,1322.244,1327.806467,1493.666897,151.8916751,165.289485,38093.42953,44.38070404,1363.634146,2715.808895,25141.77606,6942.443532,297.376792,17460.19205,2.438950042,281.6999699,1376.4645,11245.6993,1368.323747,1370.726875,6238.140006,2286.666667,132.8996283,90.62329142,274.9559586,0,0.123326801,4.764417878,0,2050.412492,47.35180075,160.4537842,36.99848001,22.32226231,18.58795843,1473.798705,24.5,497,458.4269663,972.3837079,209.3434243,151.1111111
12,1,1317.492,1311.965968,2591.575898,239.5214876,222.1077455,36406.21244,38.59191656,2435.060976,3707.077425,32276.84999,11375.53604,281.7659225,18718.93865,4.877900085,363.5486242,2105.715244,18531.66114,1971.65637,1605.11258,7652.355747,2013.333333,123.2779357,252.5970476,546.1237754,0,0.164435734,6.721232363,0,3253.757412,31.56786717,106.9691895,24.66565334,14.8815082,12.39197229,2282.693971,21.7,476,444.9438202,1893.589326,230.9736973,104.4444444
13,1,1063.26,1243.479109,2459.656599,338.8352752,247.9342275,30757.44362,15.43676662,2824.670732,3971.874799,35479.09152,13814.16128,219.1170387,18138.73514,6.097375106,304.7983631,2639.402318,20590.70966,2173.729497,1558.480869,7807.649402,1500,104.6359064,489.6118097,606.1026871,0,0.164435734,6.35255717,0,3602.763793,15.78393358,53.48459474,12.33282667,7.440754102,6.195986145,2411.86311,18.9,406,391.011236,2354.192135,199.6568238,84.44444444
14,1,792.396,963.1255853,1731.972726,327.1513001,211.7771527,20705.23072,1.929595828,2045.45122,3965.074121,37590.89894,13935.80963,125.1950645,15016.45354,6.097375106,236.0053224,2803.327403,15047.0772,1934.128504,983.2979971,7191.385251,861.6666667,82.98709818,387.9168945,352.2971869,0,0.123326801,4.792777508,0,3141.057434,7.891966792,26.74229737,6.166413336,3.720377051,3.097993072,1791.427736,15.05,287,289.8876404,1637.698876,125.5496278,60
15,1,321.948,530.1907926,1080.887156,169.4176376,103.3059281,7238.5749,1.929595828,1461.036585,3374.401991,39571.85426,11847.98432,46.93531132,10797.68565,3.048687553,251.0694919,1556.841649,5464.471376,1353.889953,424.7693077,5507.707397,181.6666667,65.54778045,216.9218152,67.55519534,0,0.123326801,2.977761173,0,2243.093098,0,0,0,0,0,1376.392469,6.3,84,128.0898876,460.602809,52.9471464,22.22222222
16,1,20.196,102.846764,293.6268259,35.05192502,20.66118562,466.0731381,0,389.6097561,2172.655697,30924.71168,7646.872399,0,5423.42772,0.609737511,150.1395561,302.8370788,79.19849044,617.7664176,35.58735842,3571.754078,1.666666667,24.05423136,49.6172772,0,0,0.164435734,1.928454855,0,1217.886852,0,0,0,0,0,800.4251586,0,0,0,0,0,0
17,1,0,0.349422754,59.57645742,0,0,18.11034068,0,0,597.472808,12790.79224,2746.989678,0,570.3695517,0,1.506416951,1.265543348,0,60.62193818,0,952.6314365,0,3.00677892,0.410060142,0,0,0.164435734,2.183691527,0,374.4547636,0,0,0,0,0,141.8743006,0,0,0,0,0,0
18,1,0,0.116474251,0,0,0,11.41102666,0,0,101.8385429,1519.338209,727.0611197,0,0,0,0,0,0,0,0,23.9385477,0,0.601355784,0,0,0,0.164435734,2.297130048,0,14.54193257,0,0,0,0,0,2.117526875,0,0,0,0,0,0
19,1,0,0.116474251,0,0,0,9.128821332,0,0,0,436.1736485,0,0,0,0,0,0,0,0,0,0.613808915,0,0,0,0,0,0.123326801,1.786656704,0,0,0,0,0,0,0,2.117526875,0,0,0,0,0,0
20,1,0,0.116474251,0,0,0,9.128821332,0,0,0,316.2258952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22E-02,1.474700772,0,0,0,0,0,0,0,2.117526875,0,0,0,0,0,0
21,1,0,0,0,0,0,10.269924,0,0,0,247.1650675,0,0,0,0,0,0,0,0,0,0.613808915,0,0,0,0,0,8.22E-02,1.30454299,0,0,0,0,0,0,0,2.117526875,0,0,0,0,0,0
22,1,0,0,0,0,0,9.128821332,0,0,0,218.0868242,0,0,0,0,0,0,0,0,0,0.613808915,0,0,0,0,3.55E-02,0.123326801,2.070253006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,10.269924,0,0,0,214.4520438,0,0,0,0,0,0,0,0,0,0.613808915,0,0,0,0,0,8.22E-02,1.30454299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,11.41102666,0,0,0,218.0868242,0,0,0,0,0,0,0,0,0,0.613808915,0,0,0,0,0,8.22E-02,1.33290262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,9.128821332,1.929595828,0,0,214.4520438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22E-02,1.588139293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
