Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,5607.221964,0,0,3427.034227,1937.432132,23432.44128,0,3599.744324,1381.331988,48.03229062,1550.537448,0,0,466.7003027,1359.031282,0,11348.26583,0,9394.550959,248,177.5983855,0,0,551.7970402,108.0158437,215.1389944,133.9039384,75.87889844,24126.09972,199.0705218,737.3643543,1093.54883,598.1042583,50.8834966,0,0,0,0,0,0,0
2,1,5628.664495,0,0,3362.087327,1611.748657,22056.42269,0,3381.367923,1264.177598,73.46115035,1553.224688,0,0,459.1321897,1373.158426,0,11409.58928,0,9354.187689,224,231.0797175,0,0,515.8562368,106.9998501,213.1154038,132.6444422,75.16518393,28110.78186,197.1980708,730.4287285,1083.262945,592.4785086,50.40488804,0,0,0,0,0,0,0
3,1,5615.262913,0,0,3280.374936,2061.138656,21408.02292,0,3076.33422,1125.227043,101.715439,1550.537448,0,0,464.1775984,1368.920283,0,11495.19453,0,9323.915237,168,355.1967709,0,0,524.3128964,104.9134346,208.9598161,130.0579768,73.69952019,28135.00485,193.3528589,716.1859256,1062.140144,580.9256297,49.42203119,0,0,0,0,0,0,0
4,1,5617.943229,0,0,3305.493573,2101.178947,19285.30279,0,3091.932534,980.827447,129.9697275,1547.850208,0,0,463.1685166,1359.031282,0,11538.99699,0,9253.279516,224,433.9051463,0,0,496.8287526,103.3713015,205.8882947,128.1462415,72.61620352,26572.62188,190.5107457,705.6586365,1046.527639,572.3865454,48.69557177,0,0,0,0,0,0,0
5,1,5623.303862,0,0,2244.871926,2490.798964,18316.72599,0,3396.966237,781.9374369,141.271443,1531.726768,0,0,468.7184662,1353.380424,0,11550.61416,0,9182.643794,392,494.4500505,0,0,424.9471459,102.960066,205.0692223,127.6364454,72.32731907,29467.26939,189.7528489,702.8513595,1042.364304,570.1094562,48.50184926,0,0,0,0,0,0,0
6,1,5623.303862,0,0,2244.441724,2419.812928,19081.3756,0,3414.297697,523.1079717,152.5731584,1523.665049,0,0,462.6639758,1344.904137,0,11580.51411,0,9182.643794,456,529.7679112,0,0,334.038055,102.6637345,204.4790084,127.2690924,72.11915234,30835.86842,189.2067173,700.8284686,1039.364254,568.4686126,48.3622551,0,0,0,0,0,0,0
7,1,5628.664495,0,0,2067.604909,1907.436986,17682.25145,0,3123.129163,283.3501514,220.3834511,1494.105409,0,0,451.0595358,1346.316852,0,10482.7863,0,9263.370333,584,542.8859738,0,0,234.6723044,102.32507,203.8044782,126.8492603,71.8812475,28280.3428,188.582567,698.5165934,1035.935626,566.5933627,48.20271891,0,0,0,0,0,0,0
8,1,5572.37785,0,0,2167.977476,1804.152215,16079.20011,0,2743.57018,111.7053481,387.0837538,1518.290569,0,0,440.9687185,1349.142281,0,10178.16874,0,9303.733602,784,546.9223007,0,0,158.5623679,102.8814474,204.9126349,127.5389844,72.27209116,24840.67798,189.6079568,702.3146741,1041.568373,569.6741303,48.46481407,0,0,0,0,0,0,0
9,1,5617.943229,0,0,1898.241708,1610.478822,15911.58166,0,2714.106698,54.49041372,573.5620585,1456.48405,0,0,425.3279516,1351.967709,0,10821.01749,0,9344.096872,808,542.8859738,0,0,122.6215645,101.7505498,202.6601859,126.1370452,71.47765894,26899.63227,187.5237405,694.5946621,1030.119202,563.4121351,47.93207717,0,0,0,0,0,0,0
10,1,5615.262913,0,0,2991.182916,1490.484053,13333.35193,0,2530.393217,59.9394551,666.8012109,1101.768377,0,0,419.2734612,1349.142281,0,11234.18898,0,9263.370333,1008,542.8859738,0,0,103.5940803,97.75309876,194.6983207,121.1815274,68.66953219,27941.22091,180.1565374,667.3062775,989.6491403,541.277489,46.04898041,0,0,0,0,0,0,0
11,1,5545.574686,0,0,2783.63637,1539.767876,14317.50435,0,2147.367943,81.73562059,782.6437941,1249.566574,0,0,413.7235116,1347.729566,0,11604.98635,0,9293.642785,1144,551.9677094,0,0,112.05074,95.37035186,189.952519,118.2277089,66.99570172,32991.71468,175.7651939,651.0405838,965.5262895,528.0837665,44.92652939,0,0,0,0,0,0,0
12,1,5612.582597,0,0,2516.721725,1584.812215,14743.82256,0,1757.410084,84.46014127,946.518668,1464.54577,0,0,409.1826438,1344.904137,0,11680.87888,0,9303.733602,1440,557.0131181,0,0,169.1331924,88.17373051,175.6187525,109.3062775,61.94022391,31986.46053,162.5019992,601.9132347,892.6679328,488.2347061,41.53638545,0,0,0,0,0,0,0
13,1,5612.582597,0,0,2090.536363,1473.439458,13599.06586,0,1523.435369,68.11301715,1062.361251,1499.479889,0,283.3333333,386.4783047,1346.316852,0,11487.57671,0,9404.641776,1008,566.0948537,0,0,221.987315,77.86260496,155.0817173,96.52389044,54.69687125,34275.53324,143.4988505,531.52489,788.2784386,431.140044,36.67907837,0,0,0,0,0,0,0
14,1,5500.009307,0,0,1684.250005,1314.05468,13526.34524,0,1552.898851,49.04137235,1079.313824,1477.981969,0,850,363.2694248,1344.904137,0,11481.48245,0,9475.277497,864,583.2492432,0,0,251.5856237,70.46036585,140.3384146,87.34756098,49.49695122,32507.25485,129.8567073,480.9939024,713.3384146,390.152439,33.19207317,0,0,0,0,0,0,0
15,1,4527.054444,0,0,1515.699019,579.1897804,13633.82735,0,1573.696604,49.04137235,977.5983855,1480.669209,0,2266.666667,351.6649849,1339.25328,0,11485.8627,0,9445.005045,1280,618.5671039,0,0,234.6723044,63.29398241,126.0648741,78.46361455,44.46271491,25373.5838,116.6492403,432.0729708,640.7861855,350.4708117,29.81617353,0,0,0,0,0,0,0
16,1,3315.551419,0,0,1475.601215,806.4877004,15719.41355,0,1847.533678,29.96972755,788.2946519,1534.414008,0,3966.666667,347.1241171,1325.126135,0,10858.53526,0,9455.095863,1432,654.8940464,0,0,217.7589852,56.12155138,111.7792883,69.57217113,39.42423031,22781.72368,103.4306277,383.1107557,568.1727309,310.7556977,26.43742503,0,0,0,0,0,0,0
17,1,3476.370405,0,0,1632.18742,1028.529731,17454.3935,0,2237.491537,19.0716448,562.2603431,1542.475728,0,2550,339.0514632,1289.808274,0,9526.273833,0,9414.732593,1568,678.1029263,0,0,196.6173362,51.34396242,102.2635946,63.64954018,36.06807277,25470.47576,94.62564974,350.4968013,519.8045782,284.3012795,24.18682527,0,0,0,0,0,0,0
18,1,5116.724058,0,0,1650.987268,705.7362824,18352.10638,0,2462.800522,13.62260343,316.4480323,1529.039528,0,566.6666667,331.4833502,1237.537841,0,9213.276671,0,9223.007064,1888,687.184662,0,0,183.9323467,45.48990404,90.60385846,56.39244302,31.95571771,28353.01177,83.83676529,310.5343862,460.5382847,251.8862455,21.42912835,0,0,0,0,0,0,0
19,1,4661.070265,0,0,1739.827167,748.005286,18512.6075,0,2516.528049,16.34712412,155.3985873,1531.726768,0,566.6666667,325.4288597,1169.727548,0,10892.33933,0,8900.100908,1832,688.1937437,0,0,196.6173362,47.53398641,94.67512995,58.92642943,33.39164334,32458.80886,87.60395842,324.4882047,481.232507,263.2047181,22.39204318,0,0,0,0,0,0,0
20,1,3677.394137,0,0,1930.693583,1191.256184,18932.53041,0,2263.488727,29.96972755,124.3188698,1526.352288,0,0,304.2381433,1100.504541,0,10375.94638,0,8567.103935,1984,681.1301715,0,0,230.4439746,52.84981008,105.2628449,65.51629348,37.12589964,35220.22992,97.40088964,360.7763894,535.0497301,292.6394442,24.89619152,0,0,0,0,0,0,0
21,1,5339.190321,0,0,2171.32387,1201.050682,19139.1395,0,1859.6657,49.04137235,288.1937437,1526.352288,0,0,279.0110999,1014.328961,0,8475.109953,0,8123.107972,1992,672.0484359,0,0,249.4714588,56.67188125,112.8753998,70.25439824,39.81082567,35329.23338,104.4448721,386.867553,573.7442523,313.8029788,26.69667133,0,0,0,0,0,0,0
22,1,5371.354118,0,0,2468.473499,1142.342445,19203.29869,0,1383.050539,70.83753784,570.7366297,1520.977809,0,0,244.19778,925.3279516,0,10999.56014,0,7719.475277,1952,649.8486377,0,0,251.5856237,59.46586365,118.4402739,73.71801279,41.77354058,34784.21607,109.5941124,405.9405238,602.0304378,329.2737905,28.01284486,0,0,0,0,0,0,0
23,1,5467.84551,0,0,2616.616664,975.3378879,18813.49552,0,974.0280741,95.35822402,774.1675076,1518.290569,0,0,205.3481332,856.1049445,0,11160.29613,0,7507.568113,1952,625.6306761,0,0,224.1014799,58.06282487,115.6457917,71.97870852,40.78793483,30036.5097,107.0083467,396.3627549,587.8261196,321.504898,27.35190924,0,0,0,0,0,0,0
24,1,5459.80456,0,0,2630.180018,1323.506296,15359.52383,0,674.1938093,130.7769929,796.7709384,1526.352288,0,0,163.975782,830.6760848,0,11014.034,0,7376.387487,2000,599.394551,0,0,175.4756871,58.80667733,117.1273491,72.90083966,41.31047581,27965.44391,108.3792483,401.4406238,595.3568573,325.6237505,27.70231907,0,0,0,0,0,0,0
25,1,5164.969753,0,0,2408.365176,1297.78294,14933.10247,0,497.4129133,168.9202825,658.3249243,1526.352288,0,0,126.6397578,836.3269425,0,9439.525913,0,7093.844601,2000,580.221998,0,0,143.7632135,57.39154338,114.3087765,71.14654138,40.31637345,24901.23546,105.7711915,391.7802879,581.030088,317.7878848,27.03568573,0,0,0,0,0,0,0
26,1,5076.519311,0,0,2039.098909,996.7524068,15529.92733,0,412.4887574,207.0635721,641.3723512,1526.352288,0,0,89.3037336,837.7396569,0,8500.629649,0,6922.300706,2000,570.1311806,0,0,124.7357294,54.99670132,109.5388844,68.17772891,38.63404638,26693.73684,101.357557,375.4320272,556.7847861,304.5271891,25.90753699,0,0,0,0,0,0,0
27,1,5264.141461,0,0,1927.291344,824.4856546,15248.12202,0,429.8202178,242.4823411,714.8335015,1526.352288,0,0,64.58123108,873.0575177,0,8651.93859,0,6922.300706,2000,561.049445,0,0,103.5940803,62.26589364,124.0171931,77.18912435,43.7405038,29067.59003,114.7544982,425.0547781,630.3778489,344.7780888,29.33186725,0,0,0,0,0,0,0
28,1,5285.583993,0,0,1946.710978,1039.435623,16577.92949,0,521.6769578,286.074672,737.4369324,1518.290569,0,0,50.95862765,914.0262361,0,9144.621072,0,7013.118063,2000,545.913219,0,0,78.22410148,71.21026589,141.8320172,88.27718912,50.0237405,27153.97368,131.2387545,486.1130548,720.9303778,394.3047781,33.54533187,0,0,0,0,0,0,0
29,1,5564.336901,0,0,2286.611322,788.2115025,19709.86745,0,660.328641,310.5953582,663.975782,1526.352288,0,283.3333333,52.47225025,949.3440969,0,9381.630484,0,6982.84561,2000,529.7679112,0,0,57.08245243,78.00169932,155.3587565,96.69632147,54.79458217,24271.43767,143.7551979,532.4744102,789.6866253,431.9102359,36.74460216,0,0,0,0,0,0,0
30,1,5427.640763,0,0,2744.578915,725.7785003,21027.09064,0,818.0449306,294.2482341,559.4349142,1526.352288,0,566.6666667,74.16750757,984.6619576,0,10370.32824,0,7114.026236,2000,520.6861756,0,0,46.51162791,81.81167533,162.9472211,101.4194322,57.4710116,22721.1662,150.7768892,558.4830068,828.2586965,453.0067973,38.53938425,0,0,0,0,0,0,0
31,1,5508.050256,0,0,3389.129914,438.3192409,21366.45355,0,998.2921186,245.2068618,443.592331,1526.352288,0,3683.333333,116.5489405,1022.805247,0,8785.916992,0,7336.024218,2000,512.6135217,0,0,44.397463,86.03893443,171.3668033,106.6598361,60.44057377,20892.33033,158.567623,587.3401639,871.0553279,476.4139344,40.5307377,0,0,0,0,0,0,0
32,1,5494.648674,0,0,3525.570792,703.0866613,21416.17176,0,1178.539307,201.6145308,299.4954591,1515.603329,0,1983.333333,163.975782,1034.106963,0,11706.68424,0,7467.204844,1992,514.6316852,0,0,48.62579281,87.45406837,174.1853758,108.4141343,61.43467613,23883.86981,161.1756797,597.0004998,885.3820972,484.2498001,41.19737105,0,0,0,0,0,0,0
33,1,5368.673802,0,0,3572.163538,854.5044427,21355.41652,0,1287.727507,187.9919273,206.2563068,1526.352288,0,1416.666667,189.7073663,1041.170535,0,12087.76567,0,7547.931382,2000,531.7860747,0,0,52.85412262,87.34521192,173.9685626,108.2791883,61.35820672,19596.40028,160.97506,596.257397,884.280038,483.6470412,41.14609156,0,0,0,0,0,0,0
34,1,4285.825966,0,0,3561.190789,908.0727933,21404.51583,0,1296.393237,198.8900101,217.5580222,1526.352288,0,850,188.1937437,1056.710394,0,12012.34925,0,7457.114026,2000,567.1039354,0,0,59.19661734,82.5192423,164.3565074,102.2965814,57.96806277,17803.89889,152.0809176,563.3131747,835.4220812,456.9247301,38.87270092,0,0,0,0,0,0,0
35,1,4561.898557,0,0,3574.583934,1388.224097,21397.29534,0,1249.598294,228.8597376,262.764884,1526.352288,0,566.6666667,163.975782,1069.424823,0,9609.78418,0,7578.203835,2000,604.4399596,0,0,65.53911205,75.70361855,150.7815874,93.84746102,53.18022791,14812.35942,139.519892,516.7866853,766.4209316,419.1853259,35.66203519,0,0,0,0,0,0,0
36,1,5312.387157,0,0,3579.695514,1969.394815,17964.05676,0,1195.870767,253.3804238,333.4006054,1526.352288,0,283.3333333,129.667003,1056.710394,0,8644.892107,0,7527.749748,2000,637.7396569,0,0,78.22410148,73.26039584,145.9153339,90.81867253,51.46391443,13843.43975,135.0170932,500.1081567,741.6858257,405.6567373,34.51109556,0,0,0,0,0,0,0
37,1,5545.574686,0,0,3566.365691,2389.673273,15703.52847,0,1142.14324,247.9313824,387.0837538,1504.854369,0,0,96.87184662,1036.932392,0,9839.651886,0,7648.839556,2000,658.9303734,0,0,84.56659619,72.71006597,144.8192223,90.13644542,51.07731907,15090.92382,134.0028489,496.3513595,736.1143043,402.6094562,34.25184926,0,0,0,0,0,0,0
38,1,5572.37785,0,0,3580.251699,2902.889467,13889.2263,0,1065.884814,226.135217,579.2129162,1510.228849,0,0,74.16750757,1035.519677,0,9825.939811,0,8113.017154,2000,689.2028254,0,0,95.13742072,72.68587565,144.7710416,90.10645742,51.06032587,14509.57202,133.9582667,496.1862255,735.8694022,402.4755098,34.24045382,0,0,0,0,0,0,0
39,1,5612.582597,0,0,3633.235823,3365.00104,13608.0399,0,974.0280741,209.7880928,861.7558022,1512.916089,0,0,57.51765893,1062.361251,0,9739.287113,0,8557.013118,2000,731.5842583,0,0,105.7082452,75.16538385,149.7095662,93.18022791,52.80212915,16653.30679,138.5279388,513.112455,760.9718613,416.205018,35.40848661,0,0,0,0,0,0,0
