Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,1,4747.674783,62.94308943,692.6081081,848.2704247,781.718176,69451.12768,1264.88764,1350.71396,1104.444444,15427.69085,21870.17522,285.9050568,4611.613861,66.84615385,2492.596249,61.52631579,6680.661952,2450.916617,6980.381322,7399.798873,2421.395601,0,352.0887992,16665.41062,2533.155713,7233,1271.859608,355.4510184,21360.87933,80.36675462,164.3991713,1813.182303,707.4093625,14.22502523,74.02985075,0,170.8333333,5.406504065,1286.463415,0,33.5089568
2,1,4745.508873,65.51219512,611.6959459,1289.533094,972.9571502,69367.29758,1240.870787,1376.446469,1273.333333,14974.01419,21238.78696,293.9587203,4875.915842,30.38461538,2275.419546,48.34210526,6577.882538,2544.056771,5131.42593,7701.521385,2682.052674,0,448.0474268,17016.6064,2560.938404,3520.213352,1089.52039,371.028235,22463.18133,90.55408971,232.3508287,1706.52452,638.0806773,12.54490414,69.40298507,0,182.2222222,3.983739837,1923.569106,0,33.71970495
3,1,4687.029303,70.6504065,514.6013514,1360.849975,977.8056137,64038.23562,920.6460674,1242.928734,1411.111111,14496.17724,20588.82845,293.9587203,5087.813119,36.46153846,2191.510365,70.04111842,6358.023964,2275.280899,5725.85031,7946.806593,2143.36139,0,466.8062563,16988.51074,2612.663992,3591.314284,865.0852645,472.1749028,22153.98778,126.7757256,222.4868785,1632.491471,564.9003984,12.99293643,60.14925373,0,193.6111111,2.276422764,931.1544715,0,32.0337197
4,1,4576.567891,66.79674797,517.8378378,1403.850555,986.4407494,62684.33085,688.4831461,1133.686951,1517.777778,12794.21865,19903.58648,295.9721362,5395.405941,22.28205128,2107.601185,96.40953947,6345.511687,1455.647546,6991.875716,8806.390152,1541.134944,0,504.3239152,16389.1366,2649.371721,3641.771974,702.5374522,570.3376664,20997.86606,165.2612137,199.4709945,1411.647122,537.939243,14.89707366,46.26865672,0,284.7222222,1.991869919,465.5772358,0,33.93045311
5,1,4351.313248,66.79674797,479,1466.491897,1018.946962,63519.56233,464.3258427,986.5746827,1515.555556,11849.28265,18811.65619,304.0257998,4900.97896,14.17948718,1855.873643,83.5,6317.805932,934.0626848,7346.559876,8687.003547,1532.446375,0,568.5368315,15700.79287,2650.939649,3643.927216,590.1574502,638.3782497,19420.285,209.4063325,157.8232044,1170.726013,559.7649402,17.36125126,32.3880597,0,261.9444444,2.56097561,1163.943089,0,36.88092729
6,1,4299.331407,62.94308943,456.3445946,1396.232447,1035.175368,63113.65283,312.2191011,1016.676863,1571.111111,12050.61845,18044.70516,306.0392157,4146.806931,6.076923077,2127.344521,51.08881579,6502.808878,848.9059728,7384.327171,8417.841018,1734.998642,0,578.6377397,15878.73206,2693.933298,3703.025402,528.9229147,769.6205336,18525.55134,246.7598945,181.9350829,1011.366738,724.0996016,21.95358224,23.13432836,0,193.6111111,2.56097561,1482.495935,0,39.19915701
7,1,4123.892695,60.37398374,479,1390.271741,1022.839404,64288.37719,240.1685393,1444.904653,1664.444444,12839.85476,18007.56467,318.119711,4085.288366,8.102564103,2502.467917,53.83552632,6062.197996,550.8574808,7497.629055,8144.337158,1656.258485,0,531.740666,15138.87961,2735.009008,3759.487231,560.3200708,776.1726786,19008.54097,224.121372,325.5103591,759.152452,817.8217131,26.43390515,27.76119403,0,113.8888889,3.130081301,1421.235772,0,45.52160169
8,1,3764.35163,57.80487805,550.2027027,1782.601569,994.1415566,62611.07954,200.1404494,1286.139928,1546.666667,11962.0307,16975.05916,312.0794634,4007.820545,20.25641026,2719.64462,50.53947368,6926.438814,723.832052,7123.240219,7486.625496,1543.307087,0,541.1200807,15049.91001,2716.271149,3733.730555,634.7070515,720.9986148,19463.00151,184.5039578,562.2451657,597.2835821,756.1962151,32.93037336,27.76119403,0,102.5,4.837398374,1359.97561,0,43.83561644
9,1,3630.065208,35.96747967,585.8040541,2414.394774,1007.80711,59663.13076,168.1179775,1114.751708,1431.111111,11049.30843,18713.23391,314.0928793,4208.325495,20.25641026,2818.361303,41.47532895,6833.490473,580.1301005,6934.403745,7187.073649,1307.62965,0,549.778002,15045.2274,2711.211736,3726.775989,778.6448546,706.2990303,19751.22233,156.2058047,739.7962707,660.0234542,740.7898406,38.97880928,32.3880597,0,68.33333333,4.268292683,857.6422764,0,37.3024236
10,1,3426.469666,28.2601626,572.8581081,2740.120249,1001.73651,57483.96888,168.1179775,989.4877969,1362.222222,13180.78338,18001.9936,304.0257998,3754.910891,8.102564103,2823.297137,29.11513158,7181.153015,808.988764,6824.385973,7312.972251,1033.396687,0,440.110999,15213.80138,2744.85644,3773.023308,918.5112234,709.37061,19153.49954,172.0527704,825.2838398,670.0618337,672.7450199,42.78708375,41.64179104,0,45.55555556,8.821138211,1127.186992,0,72.7081138
11,1,3331.169624,38.53658537,559.9121622,3150.194097,1013.246291,54932.7162,160.1123596,678.2700944,1346.666667,15331.04967,16993.6294,302.0123839,3839.214109,12.15384615,2818.361303,16.75493421,6892.47692,604.0804258,7430.304747,7406.31087,720.6081998,0,312.4066599,15995.79732,2759.685901,3793.40758,1019.379289,862.7123626,17472.75116,159.6015831,860.355663,554.6204691,676.5966135,52.08375378,41.64179104,0,45.55555556,21.62601626,808.6341463,0,102.8451001
12,1,3129.739992,35.96747967,553.4391892,3261.580995,1066.152034,51306.02133,176.1235955,566.6007159,1584.444444,16294.77701,14949.04564,302.0123839,4445.285891,6.076923077,2818.361303,11.26151316,7319.681791,460.3784743,8615.869394,7356.385562,558.2405648,0,418.4661958,15995.79732,2803.609208,3853.783657,977.5303734,994.7111261,17848.40975,149.414248,973.2430939,511.9573561,722.8157371,63.62058527,23.13432836,0,22.77777778,28.17073171,747.3739837,0,119.2834563
13,1,2891.489889,51.38211382,511.3648649,3459.139473,1108.310056,48410.92565,312.2191011,496.2004556,1755.555556,16332.35969,13897.96989,304.0257998,5231.356436,0,2808.489635,3.570723684,5708.279316,242.1643998,9374.499404,8526.374296,480.5864784,0,518.0322906,15241.89704,2844.165541,3909.531559,1009.339626,1039.152012,19014.09257,130.171504,1077.362569,761.6620469,666.3256972,75.26942482,23.13432836,0,11.38888889,28.7398374,600.3495935,0,129.8208641
14,1,2384.666942,62.94308943,530.7837838,3763.597552,1047.37976,48635.74427,288.2022472,347.6316303,1853.333333,16211.55821,13572.99063,299.998968,5835.149752,0,2546.890424,9.888157895,6288.312709,292.7261975,10617.53602,8849.803463,475.1561227,0,556.9929364,16342.3105,2843.6658,3908.844626,814.7564643,1144.865314,19506.18066,84.8944591,1102.570442,843.2238806,632.9452191,85.68617558,13.88059701,0,0,28.7398374,490.0813008,0,124.5521602
15,1,2070.609988,66.79674797,527.5472973,4236.496702,997.5948611,52732.50036,312.2191011,313.6452978,2013.333333,15661.24037,13819.97487,283.8916409,5641.480198,0,2699.901283,15.65625,5604.606168,415.138971,11005.06131,8589.323597,711.9196307,0,572.8657921,16857.39765,2854.034746,3923.097566,648.7938659,1233.886637,18905.37364,78.10290237,1020.370856,908.4733475,537.939243,96.32694248,9.253731343,0,0,32.72357724,477.8292683,0,111.0642782
16,1,1936.323566,74.50406504,508.1283784,4199.505273,1038.276452,49589.02388,344.241573,483.5769606,2211.111111,15615.60426,14963.90184,251.6769866,5477.430693,4.051282051,2818.361303,19.77631579,4714.447063,755.765819,10683.21827,7851.297309,920.4452892,0,566.3723512,16403.18443,2902.304615,3989.448337,456.8532238,1273.7417,16787.7448,65.65171504,966.6671271,747.8592751,522.5328685,102.5993946,4.626865672,0,0,38.98373984,588.097561,0,95.6796628
17,1,1869.180355,77.07317073,449.8716216,4194.614402,985.666669,47049.83403,360.252809,678.7556134,2220,19153.74529,17740.15317,209.3952528,5062.75,10.12820513,2808.489635,25.54440789,4489.226085,1490.24246,10042.81632,6748.599207,1074.667391,0,536.7911201,16581.12363,2934.460145,4033.648669,448.4370653,1278.730826,15081.39735,74.70712401,891.0435083,774.2100213,467.3266932,105.5116044,4.626865672,0,0,44.95934959,1078.178862,0,95.6796628
18,1,2129.089558,91.20325203,411.0337838,4185.829518,929.341648,46522.97312,384.2696629,1012.792711,2333.333333,26350.82884,21080.93989,197.3147575,4518.196782,6.076923077,2813.425469,33.23519737,4828.845021,1423.713779,9197.157323,5331.1546,1125.169699,0,482.679112,16951.04986,2861.951163,3933.97931,474.9900631,1272.657822,13317.99173,58.86015831,853.7796961,858.2814499,341.5079681,103.3834511,18.50746269,0,0,49.51219512,1359.97561,0,96.31190727
19,1,2111.762278,245.3495935,407.7972973,4017.601545,860.0154327,45771.18689,488.3426966,1142.911813,2420,28216.54054,22793.1163,199.3281734,3969.086634,22.28205128,2788.746298,28.29111842,3981.58515,1719.101124,7934.416031,4371.720426,1049.687755,0,425.6811302,17213.27604,2851.807769,3920.03641,541.6878481,1177.887321,12530.58911,61.12401055,841.7237569,1033.953092,290.1533865,96.77497477,13.88059701,0,0,56.62601626,771.8780488,0,104.109589
